name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
1.0,2014,450000,145500,1.0,1.0,1.0,1.0,23.4,1248.0,74.0,5.0
2.0,2014,370000,120000,1.0,1.0,1.0,2.0,21.14,1498.0,103.52,5.0
3.0,2010,225000,127000,1.0,1.0,1.0,1.0,23.0,1396.0,90.0,5.0
4.0,2007,130000,120000,2.0,1.0,1.0,1.0,16.1,1298.0,88.2,5.0
5.0,2017,440000,45000,2.0,1.0,1.0,1.0,20.14,1197.0,81.86,5.0
6.0,2007,96000,175000,3.0,1.0,1.0,1.0,24.22,1061.0,57.5,5.0
7.0,2001,45000,5000,2.0,1.0,1.0,2.0,16.1,796.0,37.0,4.0
8.0,2011,350000,90000,1.0,1.0,1.0,1.0,23.59,1364.0,67.1,5.0
9.0,2013,200000,169000,1.0,1.0,1.0,1.0,20.0,1399.0,68.1,5.0
10.0,2014,500000,68000,1.0,1.0,1.0,2.0,19.01,1461.0,108.45,5.0
11.0,2005,92000,100000,2.0,1.0,1.0,2.0,17.3,993.0,60.0,5.0
12.0,2009,280000,140000,1.0,1.0,1.0,2.0,19.3,1248.0,73.9,5.0
13.0,2007,200000,80000,2.0,1.0,1.0,2.0,19.5292373105782,1458.3272031778727,91.50002278741545,5.4190083860526705
14.0,2009,180000,90000,2.0,1.0,1.0,2.0,18.9,1061.0,67.0,5.0
15.0,2016,400000,40000,2.0,1.0,1.0,1.0,18.15,1198.0,82.0,5.0
16.0,2012,500000,53000,1.0,1.0,1.0,2.0,23.0,1396.0,90.0,5.0
17.0,2002,150000,80000,2.0,1.0,1.0,2.0,19.7,796.0,46.3,5.0
18.0,2016,680000,100000,1.0,1.0,1.0,1.0,22.54,1396.0,88.73,5.0
19.0,2011,174000,100000,1.0,1.0,1.0,2.0,21.0,1461.0,64.1,5.0
20.0,2017,950000,50000,1.0,1.0,1.0,1.0,25.5,1498.0,98.6,5.0
21.0,2015,525000,40000,1.0,1.0,1.0,1.0,26.59,1248.0,74.0,5.0
22.0,2012,600000,72000,1.0,1.0,1.0,1.0,21.5,1248.0,88.8,5.0
23.0,2016,575000,45000,2.0,1.0,1.0,1.0,21.4,1197.0,83.1,5.0
24.0,2017,275000,28000,2.0,1.0,1.0,1.0,24.7,796.0,47.3,5.0
25.0,2013,300000,70000,1.0,1.0,1.0,1.0,18.2,1248.0,73.8,7.0
14.0,2009,220000,120000,2.0,1.0,1.0,1.0,18.9,1061.0,67.0,5.0
26.0,2018,254999,25000,2.0,1.0,1.0,1.0,16.8,796.0,34.2,8.0
27.0,2017,670000,70000,1.0,1.0,1.0,1.0,24.3,1248.0,88.5,5.0
28.0,2003,70000,50000,2.0,1.0,1.0,2.0,19.5292373105782,1458.3272031778727,91.50002278741545,5.4190083860526705
29.0,2012,150000,35000,2.0,1.0,1.0,2.0,14.0,796.0,35.0,5.0
30.0,2017,650000,16200,1.0,1.0,1.0,1.0,24.3,1248.0,88.5,5.0
31.0,2019,330000,10000,4.0,1.0,1.0,2.0,46.815999999999995,796.0,40.3,4.0
32.0,2019,366000,15000,2.0,1.0,1.0,1.0,23.95,998.0,67.1,5.0
33.0,2019,1149000,5000,2.0,1.0,1.0,1.0,17.0,1591.0,121.3,5.0
34.0,2016,150000,42000,2.0,1.0,1.0,1.0,20.63,1198.0,67.0,5.0
35.0,2011,425000,60000,1.0,1.0,1.0,2.0,13.93,2179.0,138.03,7.0
36.0,2012,150000,76000,2.0,1.0,1.0,1.0,16.1,796.0,37.0,4.0
37.0,2019,2100000,5000,2.0,1.0,2.0,1.0,16.0,1368.0,160.77,5.0
38.0,2018,925000,28900,2.0,2.0,1.0,1.0,17.8,1497.0,117.3,5.0
39.0,2013,425000,86300,2.0,2.0,1.0,1.0,16.8,1497.0,116.3,5.0
40.0,2018,819999,32600,1.0,2.0,1.0,1.0,24.3,1248.0,88.5,5.0
41.0,2018,390000,10300,2.0,2.0,1.0,1.0,23.95,998.0,67.05,5.0
42.0,2014,1500000,77000,1.0,2.0,1.0,1.0,12.55,2982.0,168.5,7.0
43.0,2013,700000,99000,1.0,2.0,1.0,1.0,12.99,2494.0,100.0,7.0
44.0,2014,1450000,27800,1.0,2.0,2.0,2.0,14.8,2143.0,120.7,5.0
45.0,2015,425000,49800,1.0,2.0,1.0,1.0,24.7,1498.0,98.63,5.0
46.0,2013,1090000,151000,1.0,2.0,1.0,1.0,13.5,2477.0,175.56,7.0
47.0,2015,600000,54700,1.0,2.0,1.0,1.0,26.0,1498.0,98.6,5.0
48.0,2015,525000,63000,1.0,2.0,1.0,1.0,27.3,1498.0,98.6,5.0
49.0,2016,1650000,127700,1.0,2.0,2.0,2.0,11.36,2755.0,171.5,7.0
50.0,2016,950000,99000,1.0,2.0,1.0,1.0,12.99,2494.0,100.6,7.0
51.0,2013,1750000,33900,1.0,2.0,2.0,2.0,17.68,1968.0,174.33,5.0
52.0,2013,1689999,50000,1.0,2.0,2.0,1.0,18.53,1968.0,187.74,5.0
53.0,2013,1425000,59000,1.0,2.0,2.0,1.0,14.84,2143.0,170.0,5.0
54.0,2011,265000,120000,1.0,1.0,1.0,1.0,21.12,1248.0,88.8,5.0
55.0,2011,190000,110000,2.0,1.0,1.0,3.0,20.36,1197.0,78.9,5.0
56.0,2013,425000,60000,1.0,1.0,1.0,1.0,21.27,1396.0,88.76,5.0
21.0,2015,630000,147000,1.0,1.0,1.0,2.0,26.59,1248.0,74.0,5.0
57.0,2017,600000,25000,2.0,1.0,1.0,3.0,18.16,1196.0,86.8,5.0
